"ticker","status","market_cap","breakout_flag","image_path","expired_date","asset_type","candle_size","company_name"
"NWSA","SUCCESS","13.95686461489695",2,"NWSA_1d_max_resistance_bullish_avg_resistance_bullish.png","2024-02-22","STOCK","1d","News Corp"
"OC","SUCCESS","13.387234951345233",2,"OC_1d_avg_support_bearish_latest_min_support_bearish.png","2024-02-22","STOCK","1d","Owens Corning"
"KEY","SUCCESS","13.379158992999997",1,"KEY_1d_min_support_bearish.png","2024-02-22","STOCK","1d","KeyCorp"
"TRU","SUCCESS","13.35561521063533",3,"TRU_1d_max_resistance_bullish_latest_max_resistance_bullish_avg_resistance_bullish.png","2024-02-22","STOCK","1d","TransUnion"
"FNF","SUCCESS","13.303096162556017",1,"FNF_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Fidelity National Financial Inc"
"WSM","SUCCESS","12.943080281708722",1,"WSM_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Williams-Sonoma Inc"
"CPB","SUCCESS","12.863008409531",1,"CPB_1d_latest_min_support_bearish.png","2024-02-22","STOCK","1d","Campbell Soup Co"
"UAL","SUCCESS","12.733616466015087",1,"UAL_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","United Airlines Holdings Inc"
"IP","SUCCESS","12.71267525352576",1,"IP_1d_max_resistance_bullish.png","2024-02-22","STOCK","1d","International Paper Co"
"ZG","SUCCESS","12.6112317711",1,"ZG_1d_latest_min_support_bearish.png","2024-02-22","STOCK","1d","Zillow Group Inc"
"PATH","SUCCESS","12.583919415166665",3,"PATH_1d_max_resistance_bullish_latest_max_resistance_bullish_avg_resistance_bullish.png","2024-02-22","STOCK","1d","UiPath Inc"
"TRMB","SUCCESS","12.4408662030334",1,"TRMB_1d_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Trimble Inc"
"DINO","SUCCESS","12.197326368820324",1,"DINO_1d_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","HF Sinclair Corp"
"JKHY","SUCCESS","12.117883921587955",1,"JKHY_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Jack Henry & Associates Inc"
"CELH","SUCCESS","12.044784572001511",1,"CELH_1d_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Celsius Holdings Inc"
"JNPR","SUCCESS","11.981378965288584",1,"JNPR_1d_latest_min_support_bearish.png","2024-02-22","STOCK","1d","Juniper Networks Inc"
"DKS","SUCCESS","11.97477055930311",1,"DKS_1d_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","DICK'S Sporting Goods Inc"
"NRG","SUCCESS","11.857147902969388",1,"NRG_1d_latest_min_support_bearish.png","2024-02-22","STOCK","1d","NRG Energy Inc"
"PNR","SUCCESS","11.79573313661573",1,"PNR_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Pentair PLC"
"GL","SUCCESS","11.464604513238383",1,"GL_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Globe Life Inc"
"OVV","SUCCESS","11.164437168772954",2,"OVV_1d_max_resistance_bullish_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Ovintiv Inc"
"CCK","SUCCESS","10.935389157986783",1,"CCK_1d_avg_support_bearish.png","2024-02-22","STOCK","1d","Crown Holdings Inc"
"X","SUCCESS","10.672550608269756",1,"X_1d_latest_min_support_bearish.png","2024-02-22","STOCK","1d","United States Steel Corp"
"WYNN","SUCCESS","10.642900607658556",1,"WYNN_1d_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Wynn Resorts Ltd"
"CDAY","SUCCESS","10.479244860951319",1,"CDAY_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Ceridian HCM Holding Inc"
